ID,Size,Predicted,Actual
222,22,0.97727275,NO
23,27,0.97727275,NO
57,27,0.97727275,NO
197,27,0.97727275,NO
211,27,0.97727275,NO
227,27,0.97727275,NO
198,28,0.97727275,NO
260,28,0.97727275,NO
202,29,0.97727275,NO
98,30,0.97727275,NO
9,31,0.97727275,NO
206,31,0.97727275,NO
253,31,0.97727275,NO
17,32,0.97727275,NO
193,32,0.97727275,NO
256,32,0.97727275,NO
195,35,0.97727275,NO
264,35,0.97727275,NO
144,36,0.97727275,NO
199,36,0.97727275,NO
237,36,0.97727275,NO
145,37,0.97727275,NO
204,37,0.97727275,NO
210,37,0.97727275,NO
233,37,0.97727275,NO
83,38,0.97727275,YES
146,38,0.97727275,NO
85,39,0.97727275,NO
147,39,0.97727275,NO
250,39,0.97727275,NO
13,40,0.97727275,NO
161,41,0.97727275,NO
174,41,0.97727275,NO
181,41,0.97727275,NO
131,42,0.97727275,NO
171,42,0.97727275,NO
106,43,0.97727275,NO
170,43,0.97727275,NO
180,43,0.97727275,NO
191,45,0.97727275,NO
231,45,0.97727275,NO
105,46,0.97727275,NO
138,46,0.97727275,NO
102,47,0.97727275,NO
103,47,0.97727275,NO
104,47,0.97727275,NO
164,47,0.97727275,NO
299,47,0.97727275,NO
132,48,0.97727275,NO
212,48,0.97727275,NO
244,48,0.97727275,NO
285,48,0.97727275,NO
166,49,0.97727275,NO
167,50,0.97727275,NO
7,51,0.97727275,NO
173,51,0.97727275,NO
205,51,0.97727275,NO
268,51,0.97727275,NO
28,52,0.97727275,YES
293,52,0.97727275,NO
248,53,0.97727275,NO
289,53,0.97727275,NO
82,54,0.97727275,NO
176,54,0.97727275,NO
291,54,0.97727275,NO
37,55,0.97727275,NO
80,55,0.97727275,NO
172,56,0.97727275,NO
254,57,0.97727275,NO
261,57,0.97727275,NO
269,57,0.97727275,NO
71,58,0.97727275,YES
141,58,0.97727275,NO
154,58,0.97727275,NO
225,58,0.97727275,NO
238,58,0.97727275,NO
267,58,0.97727275,NO
25,60,0.97727275,NO
245,60,0.97727275,NO
26,62,0.97727275,YES
224,62,0.97727275,NO
239,62,0.97727275,NO
133,63,0.97727275,NO
163,63,0.97727275,NO
215,63,0.97727275,NO
232,63,0.97727275,NO
273,63,0.97727275,YES
128,64,0.97727275,YES
230,64,0.97727275,NO
234,64,0.97727275,NO
296,64,0.97727275,NO
39,65,0.97727275,NO
18,66,0.97727275,NO
162,66,0.97727275,NO
122,67,0.97727275,NO
201,67,0.97727275,NO
86,69,0.97727275,YES
95,71,0.97727275,NO
150,71,0.97727275,NO
130,72,0.97727275,NO
203,72,0.97727275,NO
124,74,0.97727275,NO
143,74,0.97727275,NO
220,74,0.97727275,NO
241,74,0.97727275,NO
243,74,0.97727275,NO
275,74,0.97727275,NO
216,76,0.97727275,NO
286,76,0.97727275,NO
108,77,0.97727275,YES
207,77,0.97727275,YES
214,77,0.97727275,YES
228,77,0.97727275,NO
251,78,0.97727275,NO
51,79,0.97727275,YES
266,79,0.97727275,YES
259,80,0.97727275,NO
41,81,0.97727275,NO
209,81,0.97727275,YES
242,83,0.97727275,YES
42,84,0.97727275,NO
47,84,0.97727275,NO
153,84,0.97727275,NO
53,85,0.97727275,NO
196,85,0.97727275,NO
252,85,0.97727275,YES
246,86,0.97727275,NO
27,88,0.97727275,YES
58,88,0.97727275,YES
94,88,0.97727275,NO
149,88,0.97727275,NO
52,90,0.97727275,NO
70,90,0.97727275,YES
30,91,0.97727275,YES
78,92,0.97727275,NO
185,92,0.97727275,YES
189,92,0.97727275,YES
300,92,0.97727275,NO
87,94,0.97727275,YES
221,94,0.97727275,NO
226,94,0.97727275,NO
148,96,0.97727275,NO
64,98,0.97727275,YES
84,98,0.97727275,NO
168,98,0.97727275,NO
265,98,0.97727275,NO
119,100,0.97727275,NO
100,101,0.97727275,NO
190,101,0.97727275,YES
160,103,0.97727275,NO
263,103,0.97727275,NO
175,104,0.97727275,NO
187,105,0.97727275,YES
188,105,0.97727275,YES
255,108,0.97727275,NO
194,111,0.97727275,NO
54,113,0.97727275,YES
110,113,0.97727275,NO
151,114,0.97727275,NO
276,116,0.97727275,NO
121,118,0.97727275,NO
127,120,0.97727275,NO
235,124,0.97727275,NO
284,124,0.97727275,NO
97,127,0.97727275,NO
155,129,0.97727275,NO
274,130,0.97727275,NO
65,132,0.97727275,NO
72,132,0.97727275,NO
240,132,0.97727275,NO
107,134,0.97727275,YES
135,136,0.97727275,YES
3,137,0.97727275,NO
32,139,0.97727275,NO
287,139,0.97727275,NO
136,141,0.97727275,YES
169,143,0.97727275,NO
31,147,0.97727275,NO
63,147,0.97727275,NO
75,148,0.97727275,YES
77,148,0.97727275,NO
142,148,0.97727275,YES
40,150,0.97727275,YES
126,152,0.97727275,YES
179,153,0.97727275,NO
125,154,0.97727275,NO
271,154,0.97727275,NO
21,158,0.97727275,YES
218,160,0.97727275,YES
140,162,0.97727275,NO
177,162,0.97727275,YES
129,163,0.97727275,YES
139,165,0.97727275,NO
123,166,0.97727275,NO
277,166,0.97727275,NO
101,167,0.97727275,YES
208,168,0.97727275,YES
48,169,0.97727275,NO
281,170,0.97727275,NO
45,171,0.97727275,NO
236,172,0.97727275,NO
76,174,0.97727275,NO
60,175,0.97727275,YES
10,180,0.97727275,NO
165,183,0.97727275,NO
120,185,0.97727275,NO
19,187,0.97727275,YES
137,190,0.97727275,YES
217,191,0.97727275,YES
11,196,0.97727275,NO
258,201,0.97727275,NO
297,206,0.97727275,YES
295,208,0.97727275,NO
62,209,0.97727275,NO
92,210,0.97727275,YES
0,215,0.97727275,NO
5,216,0.97727275,NO
36,216,0.97727275,YES
67,227,0.97727275,NO
257,227,0.97727275,NO
270,230,0.97727275,YES
66,236,0.97727275,YES
282,241,0.97727275,NO
283,241,0.97727275,YES
157,242,0.97727275,YES
114,243,0.97727275,NO
294,246,0.97727275,YES
272,251,0.97727275,NO
14,255,0.97727275,YES
111,258,0.97727275,NO
116,259,0.97727275,NO
109,261,0.97727275,YES
280,261,0.97727275,NO
279,265,0.97727275,YES
292,268,0.97727275,NO
1,271,0.97727275,NO
288,272,0.97727275,YES
55,276,0.97727275,YES
33,282,0.97727275,YES
192,299,0.97727275,YES
290,306,0.97727275,NO
298,315,0.97727275,NO
134,318,0.97727275,NO
89,319,0.97727275,NO
90,321,0.97727275,NO
113,339,0.97727275,YES
152,342,0.97727275,NO
186,355,0.97727275,YES
247,355,0.97727275,NO
115,358,0.97727275,YES
156,363,0.97727275,YES
159,366,0.97727275,NO
4,368,0.97727275,YES
182,400,0.97727275,YES
183,425,0.97727275,YES
213,436,0.97727275,YES
262,446,0.97727275,NO
223,481,0.97727275,NO
73,529,0.97727275,YES
200,574,0.97727275,YES
20,576,0.97727275,YES
249,612,0.97727275,YES
79,664,0.97727275,NO
158,682,0.97727275,YES
278,726,0.97727275,YES
229,744,0.97727275,YES
6,764,0.97727275,YES
219,906,0.97727275,YES
184,1041,0.97727275,YES
117,1167,0.97727275,YES
22,46,0.022727273,YES
112,49,0.022727273,NO
118,92,0.022727273,YES
50,127,0.022727273,NO
8,150,0.022727273,NO
178,6523,0.97727275,YES
46,153,0.022727273,NO
29,163,0.022727273,NO
68,172,0.022727273,YES
91,183,0.022727273,NO
38,184,0.022727273,NO
49,189,0.022727273,YES
93,249,0.022727273,YES
81,256,0.022727273,YES
59,283,0.022727273,YES
44,312,0.022727273,YES
15,379,0.022727273,YES
99,380,0.022727273,YES
2,451,0.022727273,NO
12,473,0.022727273,YES
61,507,0.022727273,YES
69,507,0.022727273,YES
16,509,0.022727273,YES
56,549,0.022727273,YES
34,582,0.022727273,YES
88,582,0.022727273,YES
74,694,0.022727273,YES
96,734,0.022727273,YES
24,788,0.022727273,YES
35,800,0.022727273,YES
43,905,0.022727273,YES
