ID,Size,Predicted,Actual
383,48,0.64,NO
496,48,0.64,NO
537,48,0.64,NO
596,48,0.64,NO
123,47,0.55,NO
149,47,0.55,NO
337,47,0.55,NO
425,47,0.55,NO
441,47,0.55,NO
442,47,0.55,NO
488,47,0.55,NO
614,47,0.55,NO
190,89,0.78,NO
48,94,0.72,NO
505,83,0.63,NO
94,84,0.63,NO
118,84,0.63,NO
273,84,0.63,NO
280,84,0.63,NO
402,84,0.63,NO
587,84,0.63,NO
55,82,0.61,NO
370,82,0.61,NO
69,85,0.63,NO
407,85,0.63,NO
139,88,0.65,NO
328,88,0.65,NO
554,88,0.65,NO
62,86,0.63,NO
369,86,0.63,NO
535,86,0.63,NO
539,86,0.63,NO
598,86,0.63,NO
75,89,0.65,NO
384,89,0.65,NO
434,89,0.65,NO
30,87,0.63,NO
296,87,0.63,NO
373,87,0.63,NO
50,90,0.65,NO
478,90,0.65,NO
490,90,0.65,NO
575,90,0.65,NO
319,91,0.59,NO
51,90,0.58,NO
157,39,0.2,NO
223,169,0.83,NO
470,106,0.52,NO
77,166,0.79,NO
211,49,0.23,NO
430,49,0.23,NO
433,49,0.23,NO
444,49,0.23,NO
232,96,0.45,NO
113,185,0.86,NO
39,106,0.49,NO
25,50,0.23,NO
332,50,0.23,NO
416,50,0.23,NO
439,50,0.23,NO
445,50,0.23,NO
12,83,0.37,NO
35,83,0.37,NO
180,208,0.92,YES
34,118,0.52,NO
609,210,0.92,NO
307,212,0.92,NO
327,212,0.92,NO
224,120,0.52,NO
498,213,0.92,NO
205,230,0.99,NO
91,214,0.92,NO
353,214,0.92,NO
492,214,0.92,NO
606,214,0.92,NO
53,138,0.59,NO
415,221,0.94,NO
322,222,0.94,NO
301,234,0.99,NO
228,223,0.94,NO
491,223,0.94,NO
173,230,0.96,NO
164,226,0.94,NO
274,226,0.94,NO
67,106,0.44,NO
0,215,0.89,NO
340,237,0.97,NO
302,239,0.97,NO
11,193,0.78,NO
360,241,0.97,NO
89,97,0.39,NO
567,206,0.82,NO
142,51,0.2,NO
331,78,0.3,NO
54,79,0.3,NO
92,79,0.3,NO
334,79,0.3,NO
586,79,0.3,NO
143,132,0.5,NO
213,243,0.92,NO
61,167,0.63,YES
70,237,0.89,NO
167,80,0.3,NO
528,182,0.66,NO
549,266,0.96,NO
372,267,0.96,NO
169,268,0.96,NO
1,273,0.96,YES
341,273,0.96,NO
88,77,0.27,NO
137,77,0.27,NO
235,77,0.27,NO
287,77,0.27,NO
325,77,0.27,NO
374,77,0.27,NO
520,77,0.27,NO
52,271,0.94,YES
600,276,0.95,YES
40,192,0.66,NO
412,128,0.44,NO
432,277,0.95,NO
103,152,0.52,NO
127,274,0.93,NO
82,183,0.62,NO
298,281,0.95,NO
41,151,0.51,NO
231,80,0.27,NO
423,282,0.95,NO
230,158,0.53,NO
63,195,0.65,YES
570,287,0.95,NO
594,288,0.95,NO
246,295,0.97,NO
366,300,0.97,NO
585,303,0.97,NO
589,306,0.97,NO
102,142,0.45,NO
508,202,0.64,NO
576,298,0.94,NO
178,111,0.35,NO
557,308,0.97,NO
602,308,0.97,NO
604,308,0.97,NO
289,204,0.64,NO
312,46,0.14,NO
379,46,0.14,NO
389,46,0.14,NO
428,319,0.97,NO
352,322,0.97,NO
165,153,0.46,NO
276,323,0.97,NO
175,197,0.59,YES
110,264,0.79,NO
191,326,0.97,NO
109,185,0.55,NO
267,329,0.97,NO
116,309,0.91,NO
198,289,0.85,NO
467,332,0.97,NO
126,327,0.95,NO
76,300,0.87,NO
32,297,0.86,NO
377,337,0.97,NO
161,297,0.85,YES
300,339,0.97,NO
183,340,0.97,NO
359,340,0.97,NO
114,194,0.55,NO
112,286,0.81,YES
200,288,0.81,NO
569,196,0.55,NO
186,342,0.95,YES
558,343,0.95,NO
22,260,0.72,YES
545,200,0.55,NO
115,346,0.95,NO
588,365,0.99,NO
599,359,0.97,NO
187,272,0.73,NO
553,354,0.95,NO
162,355,0.95,NO
540,355,0.95,NO
424,371,0.99,NO
140,263,0.7,NO
612,357,0.95,NO
4,358,0.95,NO
431,358,0.95,NO
378,376,0.99,NO
613,376,0.99,NO
24,198,0.52,NO
419,377,0.99,NO
144,160,0.42,YES
299,380,0.99,NO
385,380,0.99,NO
131,361,0.94,NO
90,343,0.89,NO
78,92,0.23,NO
134,92,0.23,NO
422,92,0.23,NO
481,92,0.23,NO
17,390,0.97,NO
117,363,0.9,NO
184,279,0.69,NO
380,399,0.97,NO
351,413,0.97,NO
578,415,0.97,NO
170,241,0.56,NO
214,401,0.93,NO
239,421,0.97,NO
57,422,0.97,YES
414,422,0.97,NO
204,418,0.95,NO
80,93,0.21,NO
201,423,0.95,NO
464,437,0.98,NO
568,438,0.98,NO
404,94,0.21,NO
471,94,0.21,NO
615,94,0.21,NO
248,444,0.99,NO
222,99,0.22,NO
64,374,0.83,YES
177,420,0.93,NO
309,95,0.21,NO
376,95,0.21,NO
181,397,0.87,NO
2,460,0.99,YES
182,462,0.98,NO
234,476,0.99,NO
203,108,0.22,NO
152,257,0.52,NO
515,491,0.99,NO
105,60,0.12,NO
106,60,0.12,NO
285,504,0.99,NO
420,382,0.75,NO
260,512,0.99,NO
577,373,0.72,NO
215,276,0.53,NO
158,403,0.73,NO
463,550,0.99,NO
79,497,0.88,NO
7,51,0.09,NO
18,51,0.09,NO
255,51,0.09,NO
453,51,0.09,NO
564,51,0.09,NO
86,565,0.99,NO
31,52,0.09,NO
233,52,0.09,NO
197,59,0.1,NO
159,585,0.99,NO
160,71,0.12,YES
166,456,0.76,NO
19,579,0.94,YES
229,617,0.99,NO
270,624,0.99,NO
418,624,0.99,NO
108,61,0.096666664,NO
85,607,0.96,NO
355,628,0.99,NO
474,628,0.99,NO
504,535,0.84,NO
45,319,0.5,YES
59,530,0.82,NO
195,648,0.98,NO
23,596,0.89,NO
245,657,0.98,NO
209,601,0.89,NO
138,666,0.98,NO
16,374,0.54,NO
314,692,0.98,NO
125,517,0.73,NO
566,707,0.97,NO
14,638,0.84,YES
250,752,0.99,NO
212,532,0.7,NO
208,762,0.97,NO
581,778,0.99,NO
49,191,0.24,NO
388,191,0.24,NO
354,192,0.24,NO
316,193,0.24,NO
597,801,0.99,YES
542,804,0.99,NO
122,721,0.88,YES
503,842,0.99,NO
499,867,0.99,NO
247,872,0.99,NO
43,752,0.83,YES
72,47,0.05,NO
282,936,0.99,NO
73,781,0.81,YES
202,341,0.33,NO
27,926,0.89,NO
465,1038,0.99,NO
10,1009,0.93,NO
521,863,0.79,NO
44,877,0.79,YES
135,45,0.04,NO
155,45,0.04,NO
523,45,0.04,NO
252,1126,0.99,NO
42,352,0.3,YES
58,1026,0.86,YES
573,1207,0.99,NO
275,76,0.06,NO
283,76,0.06,NO
507,76,0.06,NO
510,1263,0.99,NO
216,1070,0.76,NO
172,991,0.7,NO
104,31,0.02,NO
71,345,0.2,YES
13,262,0.15,NO
590,263,0.15,NO
119,53,0.03,NO
541,53,0.03,NO
601,53,0.03,NO
141,54,0.03,NO
361,54,0.03,NO
410,54,0.03,NO
456,54,0.03,NO
525,54,0.03,NO
603,54,0.03,NO
81,244,0.13,NO
111,248,0.13,NO
168,340,0.17,NO
264,261,0.13,NO
345,261,0.13,NO
241,2009,0.99,NO
482,979,0.45,NO
6,1154,0.48,YES
500,159,0.06,NO
411,160,0.06,NO
367,161,0.06,NO
46,27,0.01,NO
550,162,0.06,NO
5,163,0.06,NO
33,163,0.06,NO
253,163,0.06,NO
269,164,0.06,NO
315,164,0.06,NO
47,55,0.02,NO
227,55,0.02,NO
284,165,0.06,NO
390,165,0.06,NO
605,55,0.02,NO
278,250,0.09,NO
83,252,0.09,NO
607,252,0.09,NO
457,254,0.09,NO
356,256,0.09,NO
257,180,0.06,NO
336,181,0.06,NO
406,183,0.06,NO
408,183,0.06,NO
443,183,0.06,NO
254,184,0.06,NO
219,185,0.06,NO
261,187,0.06,NO
60,189,0.06,YES
65,573,0.18,NO
294,96,0.03,NO
502,96,0.03,NO
156,97,0.03,NO
546,134,0.04,NO
251,135,0.04,NO
128,136,0.04,NO
595,137,0.04,NO
3,138,0.04,NO
321,138,0.04,NO
329,139,0.04,NO
574,139,0.04,NO
100,140,0.04,NO
386,141,0.04,NO
153,356,0.1,NO
447,143,0.04,NO
317,145,0.04,NO
350,145,0.04,NO
265,73,0.02,NO
279,73,0.02,NO
349,73,0.02,NO
36,147,0.04,NO
56,147,0.04,NO
210,258,0.07,NO
593,258,0.07,NO
130,74,0.02,NO
133,148,0.04,NO
188,148,0.04,NO
271,74,0.02,NO
291,148,0.04,NO
387,148,0.04,NO
394,74,0.02,NO
459,74,0.02,NO
511,74,0.02,NO
534,74,0.02,NO
536,74,0.02,NO
538,74,0.02,NO
288,75,0.02,NO
543,75,0.02,NO
8,157,0.04,NO
293,157,0.04,NO
365,157,0.04,NO
121,4088,0.99,NO
497,167,0.04,NO
136,168,0.04,NO
249,168,0.04,NO
292,169,0.04,NO
592,170,0.04,NO
151,43,0.01,NO
189,43,0.01,NO
196,43,0.01,NO
448,43,0.01,NO
148,131,0.03,NO
194,131,0.03,NO
38,44,0.01,NO
120,132,0.03,NO
306,176,0.04,NO
451,44,0.01,NO
527,132,0.03,NO
533,132,0.03,NO
323,98,0.02,NO
446,98,0.02,NO
561,98,0.02,NO
207,99,0.02,NO
518,99,0.02,NO
185,100,0.02,YES
218,100,0.02,NO
462,100,0.02,NO
501,100,0.02,NO
318,151,0.03,NO
413,151,0.03,NO
124,101,0.02,NO
259,101,0.02,NO
305,101,0.02,NO
472,101,0.02,NO
512,101,0.02,NO
145,152,0.03,NO
163,102,0.02,NO
199,102,0.02,NO
277,153,0.03,NO
460,153,0.03,NO
559,103,0.02,NO
572,103,0.02,NO
509,155,0.03,NO
101,156,0.03,NO
401,156,0.03,NO
129,56,0.01,NO
226,56,0.01,NO
262,56,0.01,NO
338,56,0.01,NO
392,56,0.01,NO
450,56,0.01,NO
326,171,0.03,NO
391,171,0.03,NO
98,172,0.03,NO
132,174,0.03,NO
304,174,0.03,NO
580,178,0.03,NO
242,179,0.03,NO
393,179,0.03,NO
221,67,0.01,NO
483,67,0.01,NO
107,876,0.13,NO
147,677,0.1,NO
461,68,0.01,NO
87,69,0.01,NO
236,69,0.01,NO
99,70,0.01,NO
409,70,0.01,NO
529,70,0.01,NO
171,71,0.01,NO
346,71,0.01,NO
358,71,0.01,NO
405,71,0.01,NO
348,72,0.01,NO
381,72,0.01,NO
421,72,0.01,NO
440,72,0.01,NO
486,72,0.01,NO
458,16883,0.99,NO
9,31,0.0,NO
15,40,0.0,NO
20,32,0.0,NO
21,66,0.0,NO
26,27,0.0,NO
28,60,0.0,NO
29,62,0.0,NO
37,58,0.0,NO
66,126,0.0,YES
68,109,0.0,NO
74,27,0.0,NO
84,109,0.0,NO
93,25,0.0,NO
95,34,0.0,NO
96,33,0.0,NO
97,104,0.0,NO
146,39,0.0,NO
150,129,0.0,NO
154,62,0.0,NO
174,36,0.0,NO
176,32,0.0,NO
179,64,0.0,NO
192,65,0.0,NO
193,59,0.0,NO
206,59,0.0,NO
217,108,0.0,NO
220,118,0.0,NO
225,64,0.0,NO
237,104,0.0,NO
238,115,0.0,NO
240,61,0.0,NO
243,106,0.0,NO
244,33,0.0,NO
256,25,0.0,NO
258,64,0.0,NO
263,39,0.0,NO
266,65,0.0,NO
268,64,0.0,NO
272,117,0.0,NO
281,61,0.0,NO
286,109,0.0,NO
290,127,0.0,NO
295,26,0.0,NO
297,38,0.0,NO
303,107,0.0,NO
308,33,0.0,NO
310,116,0.0,NO
311,28,0.0,NO
313,36,0.0,NO
320,129,0.0,NO
324,127,0.0,NO
330,125,0.0,NO
333,63,0.0,NO
335,37,0.0,NO
339,38,0.0,NO
342,116,0.0,NO
343,35,0.0,NO
344,129,0.0,NO
347,62,0.0,NO
357,119,0.0,NO
362,27,0.0,NO
363,66,0.0,NO
364,107,0.0,NO
368,120,0.0,NO
371,29,0.0,NO
375,40,0.0,NO
382,42,0.0,NO
395,36,0.0,NO
396,37,0.0,NO
397,34,0.0,NO
398,34,0.0,NO
399,38,0.0,NO
400,39,0.0,NO
403,117,0.0,NO
417,42,0.0,NO
426,108,0.0,NO
427,111,0.0,NO
429,129,0.0,NO
435,41,0.0,NO
436,66,0.0,NO
437,63,0.0,NO
438,24,0.0,NO
449,42,0.0,NO
452,26,0.0,NO
454,41,0.0,NO
455,104,0.0,NO
466,104,0.0,NO
468,123,0.0,NO
469,106,0.0,NO
473,38,0.0,NO
475,32,0.0,NO
476,111,0.0,NO
477,35,0.0,NO
479,27,0.0,NO
480,28,0.0,NO
484,29,0.0,NO
485,105,0.0,NO
487,37,0.0,NO
489,31,0.0,NO
493,107,0.0,NO
494,37,0.0,NO
495,27,0.0,NO
506,63,0.0,NO
513,27,0.0,NO
514,22,0.0,NO
516,62,0.0,NO
517,59,0.0,NO
519,27,0.0,NO
522,64,0.0,NO
524,63,0.0,NO
526,64,0.0,NO
530,36,0.0,NO
531,58,0.0,NO
532,62,0.0,NO
544,125,0.0,NO
547,57,0.0,NO
548,123,0.0,NO
551,130,0.0,NO
552,108,0.0,NO
555,28,0.0,NO
556,58,0.0,NO
560,35,0.0,NO
562,117,0.0,NO
563,58,0.0,NO
565,57,0.0,NO
571,35,0.0,NO
579,116,0.0,NO
582,36,0.0,NO
583,36,0.0,NO
584,36,0.0,NO
591,41,0.0,NO
608,64,0.0,NO
610,62,0.0,NO
611,60,0.0,NO
