ID,Size,Predicted,Actual
552,22,0.17159437,NO
476,24,0.17159437,NO
102,25,0.17159437,NO
294,25,0.17159437,NO
333,26,0.17159437,NO
490,26,0.17159437,NO
264,28,0.18075997,NO
34,27,0.17159437,NO
55,27,0.17159437,NO
83,27,0.17159437,NO
400,27,0.17159437,NO
517,27,0.17159437,NO
533,27,0.17159437,NO
551,27,0.17159437,NO
557,27,0.17159437,NO
349,28,0.17159437,NO
518,28,0.17159437,NO
593,28,0.17159437,NO
409,29,0.17159437,NO
522,29,0.17159437,NO
32,31,0.17252295,NO
10,31,0.16234253,NO
113,31,0.16234253,NO
527,31,0.16234253,NO
25,32,0.16234253,NO
190,32,0.16234253,NO
202,32,0.16234253,NO
513,32,0.16234253,NO
105,33,0.16234253,NO
282,33,0.16234253,NO
346,33,0.16234253,NO
104,34,0.16234253,NO
435,34,0.16234253,NO
436,34,0.16234253,NO
147,39,0.18501882,NO
381,35,0.16234253,NO
515,35,0.16234253,NO
598,35,0.16234253,NO
609,35,0.16234253,NO
188,36,0.16234253,NO
351,36,0.16234253,NO
433,36,0.16234253,NO
568,36,0.16234253,NO
620,36,0.16234253,NO
621,36,0.16234253,NO
622,36,0.16234253,NO
373,37,0.16234253,NO
434,37,0.16234253,NO
525,37,0.16234253,NO
532,37,0.16234253,NO
213,59,0.25276238,NO
266,40,0.17111604,NO
335,38,0.16234253,NO
377,38,0.16234253,NO
437,38,0.16234253,NO
511,38,0.16234253,NO
53,41,0.17111604,NO
158,39,0.16234253,NO
170,39,0.16234253,NO
301,39,0.16234253,NO
438,39,0.16234253,NO
20,40,0.16234253,NO
413,40,0.16234253,NO
120,43,0.17111604,NO
473,41,0.16234253,NO
492,41,0.16234253,NO
629,41,0.16234253,NO
193,64,0.25276238,NO
420,42,0.16234253,NO
455,42,0.16234253,NO
487,42,0.16234253,NO
8,45,0.17111604,NO
271,45,0.17111604,NO
163,43,0.16234253,NO
205,43,0.16234253,NO
212,43,0.16234253,NO
486,43,0.16234253,NO
46,44,0.16234253,NO
489,44,0.16234253,NO
146,45,0.16234253,NO
168,45,0.16234253,NO
561,45,0.16234253,NO
350,46,0.16234253,NO
417,46,0.16234253,NO
427,46,0.16234253,NO
268,49,0.17111604,NO
81,47,0.16234253,NO
134,47,0.16234253,NO
161,47,0.16234253,NO
375,47,0.16234253,NO
463,47,0.16234253,NO
479,47,0.16234253,NO
480,47,0.16234253,NO
526,47,0.16234253,NO
652,47,0.16234253,NO
421,48,0.16234253,NO
534,48,0.16234253,NO
575,48,0.16234253,NO
634,48,0.16234253,NO
227,49,0.16234253,NO
468,49,0.16234253,NO
471,49,0.16234253,NO
482,49,0.16234253,NO
36,50,0.16482188,NO
263,50,0.16346537,NO
149,77,0.24466726,NO
12,55,0.1727442,NO
33,50,0.15501077,NO
370,50,0.15501077,NO
454,50,0.15501077,NO
477,50,0.15501077,NO
483,50,0.15501077,NO
254,53,0.16346537,NO
7,51,0.15501077,NO
23,51,0.15501077,NO
293,51,0.15501077,NO
491,51,0.15501077,NO
602,51,0.15501077,NO
64,82,0.24466726,NO
39,52,0.15501077,NO
250,52,0.15501077,NO
270,55,0.16346537,NO
130,53,0.15501077,NO
579,53,0.15501077,NO
639,53,0.15501077,NO
14,55,0.1603266,NO
153,54,0.15501077,NO
399,54,0.15501077,NO
448,54,0.15501077,NO
494,54,0.15501077,NO
563,54,0.15501077,NO
641,54,0.15501077,NO
71,86,0.24466726,NO
45,58,0.16482188,NO
56,55,0.15501077,NO
244,55,0.15501077,NO
643,55,0.15501077,NO
38,87,0.24466726,NO
181,80,0.22193617,NO
140,56,0.15501077,NO
242,56,0.15501077,NO
300,56,0.15501077,NO
376,56,0.15501077,NO
