ID,Size,Predicted,Actual
842,22,0.18204331,YES
233,22,0.176737,NO
713,22,0.176737,NO
726,22,0.176737,NO
786,22,0.176737,NO
791,22,0.176737,NO
807,22,0.176737,NO
1024,22,0.176737,NO
1027,22,0.176737,NO
1193,22,0.176737,NO
1211,22,0.176737,NO
1293,22,0.176737,NO
1349,22,0.176737,NO
1023,23,0.176737,NO
1159,23,0.176737,NO
1177,23,0.176737,NO
1341,23,0.176737,NO
1342,23,0.176737,NO
1343,23,0.176737,NO
1457,23,0.176737,NO
1477,23,0.176737,NO
63,24,0.176737,NO
70,24,0.176737,NO
623,24,0.176737,NO
662,24,0.176737,NO
719,24,0.176737,NO
728,24,0.176737,NO
833,24,0.176737,NO
942,24,0.176737,NO
1026,24,0.176737,NO
1161,24,0.176737,NO
1178,24,0.176737,NO
1195,24,0.176737,NO
1236,24,0.176737,NO
1299,24,0.176737,NO
1307,24,0.176737,NO
1308,24,0.176737,NO
1335,24,0.176737,NO
1423,24,0.176737,NO
1471,24,0.176737,NO
1537,24,0.176737,NO
255,25,0.176737,NO
474,25,0.176737,NO
501,25,0.176737,NO
720,25,0.176737,NO
1061,25,0.176737,NO
1070,25,0.176737,NO
1071,25,0.176737,NO
1194,25,0.176737,NO
1218,25,0.176737,NO
1283,25,0.176737,NO
1301,25,0.176737,NO
1302,25,0.176737,NO
1428,25,0.176737,NO
1439,25,0.176737,NO
1440,25,0.176737,NO
1454,25,0.176737,NO
1468,25,0.176737,NO
270,26,0.176737,NO
368,26,0.176737,NO
511,26,0.176737,NO
515,26,0.176737,NO
530,26,0.176737,NO
712,26,0.176737,NO
769,26,0.176737,NO
976,26,0.176737,NO
978,26,0.176737,NO
979,26,0.176737,NO
1039,26,0.176737,YES
1162,26,0.176737,NO
1274,26,0.176737,NO
1286,26,0.176737,NO
1303,26,0.176737,NO
1310,26,0.176737,NO
1332,26,0.176737,NO
1339,26,0.176737,NO
1358,26,0.176737,NO
1429,26,0.176737,NO
1442,26,0.176737,NO
1450,26,0.176737,NO
1452,26,0.176737,NO
1460,26,0.176737,NO
1463,26,0.176737,NO
1467,26,0.176737,NO
1582,26,0.176737,NO
1601,26,0.176737,NO
109,27,0.176737,NO
259,27,0.176737,NO
486,27,0.176737,NO
488,27,0.176737,NO
669,27,0.176737,NO
695,27,0.176737,NO
729,27,0.176737,NO
1042,27,0.176737,NO
1261,27,0.176737,NO
1396,27,0.176737,NO
1411,27,0.176737,NO
1472,27,0.176737,NO
1548,27,0.176737,NO
1551,27,0.176737,NO
241,28,0.176737,NO
323,28,0.176737,NO
491,28,0.176737,NO
528,28,0.176737,NO
735,28,0.176737,NO
810,28,0.176737,NO
977,28,0.176737,NO
1059,28,0.176737,NO
1203,28,0.176737,NO
1292,28,0.176737,NO
1300,28,0.176737,NO
1447,28,0.176737,NO
1499,28,0.176737,NO
199,29,0.18204331,YES
130,29,0.176737,NO
298,29,0.176737,NO
358,29,0.176737,NO
479,29,0.176737,NO
622,29,0.176737,NO
1121,29,0.176737,NO
1182,29,0.176737,NO
1186,29,0.176737,NO
1192,29,0.176737,NO
1276,29,0.176737,NO
1279,29,0.176737,NO
1281,29,0.176737,NO
1282,29,0.176737,NO
1346,29,0.176737,NO
1386,29,0.176737,NO
1391,29,0.176737,NO
1406,29,0.176737,NO
142,30,0.18221441,YES
135,30,0.176737,NO
256,30,0.176737,NO
258,30,0.176737,NO
297,30,0.176737,NO
516,30,0.176737,NO
657,30,0.176737,NO
680,30,0.176737,NO
742,30,0.176737,NO
783,30,0.176737,NO
984,30,0.176737,NO
997,30,0.176737,NO
1033,30,0.176737,NO
1199,30,0.176737,NO
1204,30,0.176737,NO
1324,30,0.176737,NO
1453,30,0.176737,NO
1483,30,0.176737,NO
838,31,0.18204331,YES
76,31,0.176737,NO
134,31,0.176737,NO
178,31,0.176737,NO
262,31,0.176737,NO
354,31,0.176737,NO
374,31,0.176737,NO
513,31,0.176737,NO
525,31,0.176737,NO
696,31,0.176737,NO
790,31,0.176737,NO
804,31,0.176737,NO
968,31,0.176737,NO
982,31,0.176737,NO
995,31,0.176737,NO
1032,31,0.176737,NO
1034,31,0.176737,NO
1036,31,0.176737,NO
1056,31,0.176737,NO
1148,31,0.176737,NO
1180,31,0.176737,NO
1183,31,0.176737,NO
1212,31,0.176737,NO
1257,31,0.176737,NO
1266,31,0.176737,NO
1268,31,0.176737,NO
1269,31,0.176737,NO
1311,31,0.176737,NO
1334,31,0.176737,NO
1353,31,0.176737,NO
1356,31,0.176737,NO
1404,31,0.176737,NO
1425,31,0.176737,NO
1448,31,0.176737,NO
1599,31,0.176737,NO
33,32,0.176737,NO
127,32,0.176737,YES
236,32,0.176737,NO
310,32,0.176737,NO
340,32,0.176737,NO
353,32,0.176737,YES
379,32,0.176737,NO
418,32,0.176737,NO
441,32,0.176737,NO
460,32,0.176737,YES
507,32,0.176737,NO
620,32,0.176737,YES
661,32,0.176737,NO
693,32,0.176737,NO
703,32,0.176737,NO
803,32,0.176737,NO
1037,32,0.176737,NO
1171,32,0.176737,NO
1172,32,0.176737,NO
1173,32,0.176737,NO
1174,32,0.176737,NO
1267,32,0.176737,NO
1289,32,0.176737,NO
1330,32,0.176737,NO
1331,32,0.176737,NO
1354,32,0.176737,NO
1482,32,0.176737,NO
1486,32,0.176737,NO
1523,32,0.176737,NO
824,33,0.18217833,YES
261,33,0.176737,NO
435,33,0.176737,NO
672,33,0.176737,NO
795,33,0.176737,NO
1072,33,0.176737,NO
1213,33,0.176737,NO
1278,33,0.176737,NO
1298,33,0.176737,NO
1344,33,0.176737,NO
1424,33,0.176737,NO
1455,33,0.176737,NO
1485,33,0.176737,NO
1546,33,0.176737,NO
139,35,0.18221441,YES
508,34,0.176737,NO
529,34,0.176737,NO
571,34,0.176737,NO
586,34,0.176737,NO
1018,34,0.176737,NO
1181,34,0.176737,NO
1264,34,0.176737,NO
1496,34,0.176737,NO
165,35,0.176737,NO
224,35,0.176737,NO
269,35,0.176737,NO
456,35,0.176737,YES
591,35,0.176737,NO
718,35,0.176737,NO
744,35,0.176737,NO
821,35,0.176737,NO
992,35,0.176737,NO
1168,35,0.176737,NO
1347,35,0.176737,NO
1366,35,0.176737,NO
1501,35,0.176737,NO
1544,35,0.176737,NO
73,36,0.176737,NO
74,36,0.176737,NO
136,36,0.176737,NO
177,36,0.176737,NO
194,36,0.176737,NO
211,36,0.176737,NO
257,36,0.176737,NO
327,36,0.176737,NO
355,36,0.176737,NO
365,36,0.176737,NO
462,36,0.176737,YES
503,36,0.176737,NO
577,36,0.176737,NO
604,36,0.176737,YES
738,36,0.176737,NO
766,36,0.176737,NO
1104,36,0.176737,NO
1277,36,0.176737,NO
1291,36,0.176737,NO
1355,36,0.176737,NO
1360,36,0.176737,NO
1371,36,0.176737,NO
1441,36,0.176737,NO
1481,36,0.176737,NO
201,38,0.18204331,YES
552,38,0.18204331,YES
22,37,0.176737,NO
254,37,0.176737,NO
260,37,0.176737,NO
521,37,0.176737,NO
580,37,0.176737,NO
587,37,0.176737,NO
617,37,0.176737,YES
805,37,0.176737,NO
1035,37,0.176737,NO
1185,37,0.176737,NO
1249,37,0.176737,NO
1260,37,0.176737,NO
1351,37,0.176737,NO
1369,37,0.176737,NO
1484,37,0.176737,NO
1535,37,0.176737,NO
1538,37,0.176737,NO
1690,37,0.176737,NO
1680,39,0.18221626,YES
543,39,0.18204331,YES
487,38,0.176737,NO
495,38,0.176737,NO
497,38,0.176737,NO
564,38,0.176737,NO
566,38,0.176737,NO
949,38,0.176737,NO
1019,38,0.176737,NO
1031,38,0.176737,NO
