ID,Size,Predicted,Actual
821,22,0.08986895,NO
222,22,0.089736894,NO
695,22,0.089736894,NO
708,22,0.089736894,NO
768,22,0.089736894,NO
773,22,0.089736894,NO
789,22,0.089736894,NO
1001,22,0.089736894,NO
1004,22,0.089736894,NO
1170,22,0.089736894,NO
1188,22,0.089736894,NO
1270,22,0.089736894,NO
1326,22,0.089736894,NO
1000,23,0.089736894,NO
1136,23,0.089736894,NO
1154,23,0.089736894,NO
1318,23,0.089736894,NO
1319,23,0.089736894,NO
1320,23,0.089736894,NO
1434,23,0.089736894,NO
1454,23,0.089736894,NO
63,24,0.089736894,NO
70,24,0.089736894,NO
612,24,0.089736894,NO
651,24,0.089736894,NO
701,24,0.089736894,NO
710,24,0.089736894,NO
812,24,0.089736894,NO
919,24,0.089736894,NO
1003,24,0.089736894,NO
1138,24,0.089736894,NO
1155,24,0.089736894,NO
1172,24,0.089736894,NO
1213,24,0.089736894,NO
1276,24,0.089736894,NO
1284,24,0.089736894,NO
1285,24,0.089736894,NO
1312,24,0.089736894,NO
1400,24,0.089736894,NO
1448,24,0.089736894,NO
1514,24,0.089736894,NO
244,25,0.089736894,NO
463,25,0.089736894,NO
490,25,0.089736894,NO
702,25,0.089736894,NO
1038,25,0.089736894,NO
1047,25,0.089736894,NO
1048,25,0.089736894,NO
1171,25,0.089736894,NO
1195,25,0.089736894,NO
1260,25,0.089736894,NO
1278,25,0.089736894,NO
1279,25,0.089736894,NO
1405,25,0.089736894,NO
1416,25,0.089736894,NO
1417,25,0.089736894,NO
1431,25,0.089736894,NO
1445,25,0.089736894,NO
1016,26,0.090067334,NO
259,26,0.089736894,NO
357,26,0.089736894,NO
500,26,0.089736894,NO
504,26,0.089736894,NO
519,26,0.089736894,NO
694,26,0.089736894,NO
751,26,0.089736894,NO
953,26,0.089736894,NO
955,26,0.089736894,NO
956,26,0.089736894,NO
1139,26,0.089736894,NO
1251,26,0.089736894,NO
1263,26,0.089736894,NO
1280,26,0.089736894,NO
1287,26,0.089736894,NO
1309,26,0.089736894,NO
1316,26,0.089736894,NO
1335,26,0.089736894,NO
1406,26,0.089736894,NO
1419,26,0.089736894,NO
1427,26,0.089736894,NO
1429,26,0.089736894,NO
1437,26,0.089736894,NO
1440,26,0.089736894,NO
1444,26,0.089736894,NO
1559,26,0.089736894,NO
1578,26,0.089736894,NO
109,27,0.089736894,NO
248,27,0.089736894,NO
475,27,0.089736894,NO
477,27,0.089736894,NO
658,27,0.089736894,NO
677,27,0.089736894,NO
711,27,0.089736894,NO
1019,27,0.089736894,NO
1238,27,0.089736894,NO
1373,27,0.089736894,NO
1388,27,0.089736894,NO
1449,27,0.089736894,NO
1525,27,0.089736894,NO
1528,27,0.089736894,NO
230,28,0.089736894,NO
312,28,0.089736894,NO
480,28,0.089736894,NO
517,28,0.089736894,NO
717,28,0.089736894,NO
792,28,0.089736894,NO
954,28,0.089736894,NO
1036,28,0.089736894,NO
1180,28,0.089736894,NO
1269,28,0.089736894,NO
1277,28,0.089736894,NO
1424,28,0.089736894,NO
1476,28,0.089736894,NO
188,29,0.08982805,NO
130,29,0.089736894,NO
287,29,0.089736894,NO
347,29,0.089736894,NO
468,29,0.089736894,NO
611,29,0.089736894,NO
1098,29,0.089736894,NO
1159,29,0.089736894,NO
1163,29,0.089736894,NO
1169,29,0.089736894,NO
1253,29,0.089736894,NO
1256,29,0.089736894,NO
1258,29,0.089736894,NO
1259,29,0.089736894,NO
1323,29,0.089736894,NO
1363,29,0.089736894,NO
1368,29,0.089736894,NO
1383,29,0.089736894,NO
669,30,0.090001166,NO
135,30,0.089736894,NO
245,30,0.089736894,NO
247,30,0.089736894,NO
286,30,0.089736894,NO
505,30,0.089736894,NO
646,30,0.089736894,NO
724,30,0.089736894,NO
765,30,0.089736894,NO
961,30,0.089736894,NO
974,30,0.089736894,NO
1010,30,0.089736894,NO
1176,30,0.089736894,NO
1181,30,0.089736894,NO
1301,30,0.089736894,NO
1430,30,0.089736894,NO
1460,30,0.089736894,NO
817,31,0.08986895,NO
76,31,0.089736894,NO
134,31,0.089736894,NO
167,31,0.089736894,NO
251,31,0.089736894,NO
343,31,0.089736894,NO
363,31,0.089736894,NO
502,31,0.089736894,NO
514,31,0.089736894,NO
678,31,0.089736894,NO
772,31,0.089736894,NO
786,31,0.089736894,NO
945,31,0.089736894,NO
959,31,0.089736894,NO
972,31,0.089736894,NO
1009,31,0.089736894,NO
1011,31,0.089736894,NO
1013,31,0.089736894,NO
1033,31,0.089736894,NO
1125,31,0.089736894,NO
1157,31,0.089736894,NO
1160,31,0.089736894,NO
1189,31,0.089736894,NO
1234,31,0.089736894,NO
1243,31,0.089736894,NO
1245,31,0.089736894,NO
1246,31,0.089736894,NO
1288,31,0.089736894,NO
1311,31,0.089736894,NO
1330,31,0.089736894,NO
1333,31,0.089736894,NO
1381,31,0.089736894,NO
1402,31,0.089736894,NO
1425,31,0.089736894,NO
1576,31,0.089736894,NO
449,32,0.09009571,YES
609,32,0.09009571,NO
127,32,0.090048425,YES
33,32,0.089736894,NO
225,32,0.089736894,NO
299,32,0.089736894,NO
329,32,0.089736894,NO
342,32,0.089736894,YES
368,32,0.089736894,NO
407,32,0.089736894,NO
430,32,0.089736894,NO
496,32,0.089736894,NO
