ID,Size,Predicted,Actual
1,22,0.6313806,NO
284,22,0.6313806,NO
836,22,0.6313806,NO
978,22,0.6313806,NO
985,22,0.6313806,NO
1027,22,0.6313806,NO
1029,22,0.6313806,NO
1064,22,0.6313806,NO
1243,22,0.6313806,NO
1397,22,0.6313806,NO
1497,22,0.6313806,NO
1575,22,0.6313806,NO
1634,22,0.6313806,NO
2074,22,0.6313806,NO
1185,23,0.6324426,NO
1186,23,0.6324426,NO
1187,23,0.6324426,NO
1239,23,0.63134736,NO
1359,23,0.63134736,NO
1378,23,0.63134736,NO
1626,23,0.63134736,NO
1627,23,0.63134736,NO
1628,23,0.63134736,NO
1746,23,0.63134736,NO
1766,23,0.63134736,NO
732,24,0.6312817,NO
782,24,0.6312817,NO
799,24,0.6312817,NO
806,24,0.6312817,NO
872,24,0.6312817,NO
877,24,0.6312817,NO
982,24,0.6312817,NO
987,24,0.6312817,NO
1166,24,0.6312817,NO
1242,24,0.6312817,NO
1281,24,0.6312817,NO
1361,24,0.6312817,NO
1379,24,0.6312817,NO
1399,24,0.6312817,NO
1522,24,0.6312817,NO
1582,24,0.6312817,NO
1585,24,0.6312817,NO
1591,24,0.6312817,NO
1592,24,0.6312817,NO
1620,24,0.6312817,NO
1643,24,0.6312817,NO
1644,24,0.6312817,NO
1712,24,0.6312817,NO
1760,24,0.6312817,NO
1999,24,0.6312817,NO
2047,24,0.6312817,NO
2078,24,0.6312817,NO
983,25,0.6458121,NO
1872,25,0.6342114,NO
572,25,0.6312493,NO
599,25,0.6312493,NO
707,25,0.6312493,NO
887,25,0.6312493,NO
1398,25,0.6312493,NO
1461,25,0.6312493,NO
1504,25,0.6312493,NO
1565,25,0.6312493,NO
1584,25,0.6312493,NO
1717,25,0.6312493,NO
1728,25,0.6312493,NO
1729,25,0.6312493,NO
1743,25,0.6312493,NO
1757,25,0.6312493,NO
1990,25,0.6312493,NO
1991,25,0.6312493,NO
2100,25,0.6312493,NO
1741,26,0.64578056,NO
508,26,0.63776034,NO
546,26,0.63776034,NO
668,26,0.6336036,NO
318,26,0.63121724,NO
417,26,0.63121724,NO
609,26,0.63121724,NO
613,26,0.63121724,NO
628,26,0.63121724,NO
977,26,0.63121724,NO
1011,26,0.63121724,NO
1199,26,0.63121724,NO
1201,26,0.63121724,NO
1202,26,0.63121724,NO
1260,26,0.63121724,NO
1362,26,0.63121724,NO
1442,26,0.63121724,NO
1555,26,0.63121724,NO
1568,26,0.63121724,NO
1586,26,0.63121724,NO
1594,26,0.63121724,NO
1617,26,0.63121724,NO
1624,26,0.63121724,NO
1645,26,0.63121724,NO
1718,26,0.63121724,NO
1731,26,0.63121724,NO
1739,26,0.63121724,NO
1749,26,0.63121724,NO
1752,26,0.63121724,NO
1756,26,0.63121724,NO
1863,26,0.63121724,NO
1885,26,0.63121724,NO
1871,27,0.6341164,NO
768,27,0.633901,NO
305,27,0.631154,NO
493,27,0.631154,NO
584,27,0.631154,NO
586,27,0.631154,NO
789,27,0.631154,NO
842,27,0.631154,NO
867,27,0.631154,NO
988,27,0.631154,NO
1263,27,0.631154,NO
1439,27,0.631154,NO
1546,27,0.631154,NO
1685,27,0.631154,NO
1700,27,0.631154,NO
1761,27,0.631154,NO
1831,27,0.631154,NO
1834,27,0.631154,NO
2056,27,0.631154,NO
994,28,0.64568776,NO
2099,28,0.64568776,NO
1574,28,0.64331394,NO
521,28,0.63766664,NO
919,28,0.63531905,NO
756,28,0.6340319,NO
300,28,0.6336614,NO
291,28,0.63112277,NO
302,28,0.63112277,NO
374,28,0.63112277,NO
589,28,0.63112277,NO
626,28,0.63112277,NO
1200,28,0.63112277,NO
1408,28,0.63112277,NO
1583,28,0.63112277,NO
1736,28,0.63112277,NO
1788,28,0.63112277,NO
1396,29,0.6456273,NO
1557,29,0.6432533,NO
511,29,0.6376056,NO
544,29,0.6376056,NO
522,29,0.63653255,NO
2166,29,0.63499796,NO
766,29,0.6339706,NO
243,29,0.6310613,NO
353,29,0.6310613,NO
409,29,0.6310613,NO
577,29,0.6310613,NO
731,29,0.6310613,NO
1321,29,0.6310613,NO
1383,29,0.6310613,NO
1387,29,0.6310613,NO
1432,29,0.6310613,NO
1561,29,0.6310613,NO
1563,29,0.6310613,NO
1564,29,0.6310613,NO
1631,29,0.6310613,NO
1673,29,0.6310613,NO
1678,29,0.6310613,NO
1695,29,0.6310613,NO
2061,29,0.6310613,NO
1025,30,0.6455975,NO
1039,30,0.6455975,NO
165,30,0.63330454,NO
97,30,0.631031,NO
304,30,0.631031,NO
352,30,0.631031,NO
614,30,0.631031,NO
777,30,0.631031,NO
831,30,0.631031,NO
1207,30,0.631031,NO
1220,30,0.631031,NO
