ID,Size,Predicted,Actual
0,78,1.0,YES
1,87,1.0,NO
2,68,1.0,NO
3,58,1.0,NO
4,196,1.0,NO
5,132,1.0,NO
6,64,1.0,NO
7,173,1.0,NO
8,246,1.0,NO
9,107,1.0,NO
10,121,1.0,NO
11,110,1.0,YES
12,58,1.0,NO
13,37,1.0,NO
14,142,1.0,YES
15,114,1.0,NO
16,59,1.0,NO
17,64,1.0,NO
18,164,1.0,NO
19,70,1.0,NO
20,32,1.0,NO
21,148,1.0,NO
22,156,1.0,NO
23,119,1.0,NO
24,118,1.0,NO
25,156,1.0,NO
26,85,1.0,NO
27,48,1.0,YES
28,33,1.0,YES
29,146,1.0,NO
30,113,1.0,NO
31,147,1.0,NO
32,40,1.0,NO
33,125,1.0,NO
34,252,1.0,NO
35,368,1.0,NO
36,106,1.0,NO
37,181,1.0,NO
38,69,1.0,YES
39,77,1.0,YES
40,83,1.0,YES
41,48,1.0,NO
42,85,1.0,NO
43,43,1.0,NO
44,90,1.0,NO
45,202,1.0,NO
46,135,1.0,NO
47,30,1.0,NO
48,29,1.0,NO
49,69,1.0,NO
50,52,1.0,YES
51,89,1.0,NO
52,31,1.0,NO
53,233,1.0,YES
54,40,1.0,NO
55,164,1.0,YES
56,40,1.0,NO
57,32,1.0,NO
58,139,1.0,NO
59,131,1.0,YES
60,149,1.0,YES
61,86,1.0,NO
62,52,1.0,NO
63,88,1.0,NO
64,42,1.0,NO
65,32,1.0,NO
66,40,1.0,YES
67,51,1.0,NO
68,81,1.0,NO
69,35,1.0,NO
70,55,1.0,NO
71,46,1.0,NO
72,46,1.0,NO
73,27,1.0,NO
74,12,0.9999999386383726,NO
75,48,1.0,YES
76,317,1.0,NO
77,29,1.0,NO
78,14,0.9999999998802559,NO
79,83,1.0,NO
80,54,1.0,NO
81,83,1.0,NO
82,40,1.0,NO
83,32,1.0,NO
84,40,1.0,NO
85,50,1.0,NO
86,81,1.0,NO
87,35,1.0,NO
88,54,1.0,NO
89,46,1.0,NO
90,46,1.0,NO
91,86,1.0,NO
92,25,1.0,NO
93,152,1.0,YES
94,94,1.0,NO
95,29,1.0,NO
96,52,1.0,YES
97,43,1.0,NO
98,195,1.0,NO
99,243,1.0,YES
100,28,1.0,NO
101,37,1.0,NO
102,69,1.0,NO
103,28,1.0,NO
104,273,1.0,YES
105,36,1.0,NO
106,51,1.0,NO
107,38,1.0,NO
108,52,1.0,NO
109,37,1.0,NO
110,46,1.0,NO
111,5,1.0,YES
112,113,1.0,NO
113,36,1.0,NO
114,116,1.0,NO
115,116,1.0,YES
116,48,1.0,YES
117,32,1.0,NO
118,34,1.0,NO
119,26,1.0,NO
120,50,1.0,NO
121,31,1.0,NO
122,98,1.0,NO
123,26,1.0,NO
124,25,1.0,NO
125,40,1.0,NO
126,59,1.0,NO
127,36,1.0,NO
128,58,1.0,NO
129,37,1.0,NO
130,268,1.0,YES
131,99,1.0,NO
132,57,1.0,NO
133,31,1.0,NO
134,70,1.0,NO
135,41,1.0,NO
136,28,1.0,NO
137,34,1.0,NO
138,26,1.0,NO
139,72,5.904931052623736E-6,NO
140,1424,1.0,YES
141,345,1.0,YES
142,36,0.9654196201924657,YES
143,32,1.0,YES
144,49,0.9797484360984028,YES
145,27,5.203708652653508E-6,NO
146,423,1.0,YES
147,119,5.904931052623736E-6,NO
148,153,5.904931052623736E-6,NO
149,51,5.203708652653508E-6,NO
150,51,5.203708652653508E-6,NO
151,108,5.904931052623736E-6,NO
152,46,5.203708652653508E-6,NO
153,53,5.203708652653508E-6,NO
154,436,7.208027500817458E-6,NO
155,382,6.949702905854276E-6,NO
156,30,5.203708652653508E-6,NO
157,22,5.203708652653508E-6,NO
158,108,1.0,YES
159,253,1.0,YES
160,75,5.904931052623736E-6,NO
161,93,5.904931052623736E-6,NO
162,49,5.203708652653508E-6,NO
163,383,6.949702905854276E-6,NO
164,59,5.904931052623736E-6,NO
165,124,1.0,YES
166,344,6.949702905854276E-6,YES
167,344,1.0,YES
168,443,7.208027500817458E-6,YES
169,1127,4.781120169989443E-6,YES
170,614,7.255202059801634E-6,YES
171,723,7.087041527583154E-6,YES
172,402,7.208027500817458E-6,YES
173,389,1.0,YES
174,344,6.949702905854276E-6,YES
175,441,7.208027500817458E-6,YES
176,1079,1.0,YES
177,2346,1.0,YES
178,625,1.0,YES
179,436,7.208027500817458E-6,YES
180,335,6.949702905854276E-6,YES
181,695,7.087041527583154E-6,YES
182,824,6.718340541025439E-6,YES
183,441,7.208027500817458E-6,YES
184,679,7.087041527583154E-6,YES
185,344,6.949702905854276E-6,YES
186,479,7.208027500817458E-6,YES
187,549,7.255202059801634E-6,YES
188,336,6.949702905854276E-6,YES
189,16276,0.9999922194963337,YES
190,344,6.949702905854276E-6,YES
191,241,6.5027804515359975E-6,YES
192,565,7.255202059801634E-6,YES
193,433,7.208027500817458E-6,YES
194,443,7.208027500817458E-6,YES
195,772,6.718340541025439E-6,YES
196,443,7.208027500817458E-6,YES
197,676,7.087041527583154E-6,YES
198,478,7.208027500817458E-6,YES
199,452,1.0,YES
200,722,7.087041527583154E-6,YES
201,1124,1.0,YES
202,61,5.904931052623736E-6,YES
203,1101,1.0,YES
204,43,5.203708652653508E-6,NO
205,61,5.904931052623736E-6,NO
206,38,5.203708652653508E-6,NO
207,32,5.203708652653508E-6,NO
208,32,5.203708652653508E-6,NO
209,32,5.203708652653508E-6,NO
210,35,5.203708652653508E-6,NO
211,30,5.203708652653508E-6,NO
212,30,5.203708652653508E-6,NO
213,49,0.5366154685164594,NO
214,59,5.904931052623736E-6,NO
215,53,5.203708652653508E-6,NO
216,57,5.904931052623736E-6,NO
217,384,1.0,YES
218,112,1.0,NO
219,71,0.982110339107632,YES
220,136,1.0,NO
221,145,1.0,YES
222,43,0.9797484360984028,YES
223,52,1.0,NO
224,99,1.0,YES
225,166,1.0,YES
226,31,1.0,YES
227,165,1.0,YES
228,31,1.0,YES
229,158,1.0,YES
230,83,1.0,YES
231,155,1.0,YES
232,74,1.0,YES
233,301,1.0,YES
234,41,1.0,NO
235,54,1.0,YES
236,66,0.9705592198936405,YES
237,57,1.0,YES
238,72,5.904931052623736E-6,NO
239,64,5.904931052623736E-6,NO
240,155,5.904931052623736E-6,NO
241,34,5.203708652653508E-6,NO
242,38,5.203708652653508E-6,NO
243,41,5.203708652653508E-6,NO
244,23,5.203708652653508E-6,NO
245,22,5.203708652653508E-6,NO
246,60,5.904931052623736E-6,NO
247,24,5.203708652653508E-6,NO
248,22,5.203708652653508E-6,NO
249,55,5.203708652653508E-6,NO
250,45,5.203708652653508E-6,NO
251,50,5.203708652653508E-6,NO
252,38,5.203708652653508E-6,NO
253,31,5.203708652653508E-6,NO
254,30,1.0,NO
255,31,1.0,NO
256,38,1.0,NO
257,31,1.0,NO
258,32,1.0,NO
259,80,1.0,NO
260,82,1.0,NO
261,202,1.0,NO
262,40,1.0,NO
263,185,1.0,NO
264,51,1.0,NO
265,31,5.203708652653508E-6,NO
266,28,5.203708652653508E-6,NO
267,25,5.203708652653508E-6,NO
268,25,5.203708652653508E-6,NO
269,33,5.203708652653508E-6,NO
270,448,0.9999999999506011,YES
271,54,5.203708652653508E-6,NO
272,39,5.203708652653508E-6,NO
273,40,5.203708652653508E-6,NO
274,45,5.203708652653508E-6,NO
275,58,5.904931052623736E-6,NO
276,110,5.904931052623736E-6,NO
277,89,5.904931052623736E-6,NO
278,57,5.904931052623736E-6,NO
279,89,5.904931052623736E-6,NO
280,52,5.203708652653508E-6,NO
281,219,1.0,YES
282,125,1.0,YES
283,346,1.0,YES
284,98,1.0,YES
285,343,1.0,YES
286,296,1.0,YES
287,47,1.0,YES
288,284,1.0,YES
289,87,1.0,YES
290,43,1.0,YES
291,47,5.203708652653508E-6,NO
292,55,1.0,YES
293,41,1.0,YES
294,42,1.0,YES
295,50,1.0,YES
296,41,1.0,YES
297,59,0.9935405517461703,YES
298,45,1.0,YES
299,116,0.9999999611930916,YES
300,172,1.0,YES
301,94,1.0,YES
302,159,1.0,YES
303,56,1.0,YES
304,77,1.0,YES
305,114,1.0,YES
306,77,1.0,YES
307,80,0.9888592619755505,YES
308,46,1.0,YES
309,157,1.0,YES
310,57,0.9694004737011118,YES
311,57,0.9694004737011118,YES
312,131,1.0,YES
313,70,1.0,YES
314,110,5.904931052623736E-6,NO
315,70,0.9694004737011118,YES
316,114,5.904931052623736E-6,NO
317,261,1.0,YES
318,281,1.0,YES
319,108,1.0,YES
320,44,1.0,YES
321,104,1.0,YES
322,206,1.0,YES
323,86,1.0,YES
324,89,5.904931052623736E-6,YES
325,64,5.904931052623736E-6,NO
326,61,1.0,NO
327,64,1.0,NO
328,68,1.0,NO
329,23,5.203708652653508E-6,NO
330,40,5.203708652653508E-6,NO
331,25,5.203708652653508E-6,NO
332,26,5.203708652653508E-6,NO
333,59,5.904931052623736E-6,NO
334,60,5.904931052623736E-6,NO
335,51,5.203708652653508E-6,NO
336,58,5.904931052623736E-6,NO
337,61,5.904931052623736E-6,NO
338,35,1.0,NO
339,224,6.5027804515359975E-6,NO
340,32,5.203708652653508E-6,NO
341,32,5.203708652653508E-6,NO
342,32,5.203708652653508E-6,NO
343,32,5.203708652653508E-6,NO
344,23,5.203708652653508E-6,NO
345,24,5.203708652653508E-6,NO
346,105,0.999999929472477,NO
347,29,5.203708652653508E-6,NO
348,34,5.203708652653508E-6,NO
349,28,5.203708652653508E-6,NO
350,31,5.203708652653508E-6,NO
351,38,5.203708652653508E-6,NO
352,32,5.203708652653508E-6,NO
353,28,5.203708652653508E-6,NO
354,41,5.203708652653508E-6,NO
355,260,1.0,YES
356,41,5.203708652653508E-6,NO
357,134,5.904931052623736E-6,NO
358,29,5.203708652653508E-6,NO
359,22,5.203708652653508E-6,NO
360,25,5.203708652653508E-6,NO
361,24,5.203708652653508E-6,NO
362,28,5.203708652653508E-6,NO
363,30,5.203708652653508E-6,NO
364,198,6.5027804515359975E-6,NO
365,84,5.904931052623736E-6,YES
366,22,5.203708652653508E-6,NO
367,31,5.203708652653508E-6,NO
368,32,5.203708652653508E-6,NO
369,225,6.5027804515359975E-6,NO
370,383,1.0,YES
371,314,1.0,YES
372,106,5.904931052623736E-6,NO
373,25,5.203708652653508E-6,NO
374,52,5.203708652653508E-6,NO
375,52,5.203708652653508E-6,NO
