ID,Size,Predicted,Actual
125,5,1.0,YES
83,12,0.9997557,NO
87,14,0.9997557,NO
489,20,1.0,NO
133,26,1.0,NO
152,26,1.0,NO
652,25,0.94040674,NO
82,27,1.0,NO
150,28,1.0,NO
48,29,1.0,NO
86,29,1.0,NO
114,28,0.9351224,NO
117,28,0.9351224,NO
47,30,1.0,NO
278,30,1.0,NO
52,31,1.0,NO
147,31,1.0,NO
250,31,1.0,YES
252,31,1.0,YES
279,31,1.0,NO
281,31,1.0,NO
109,29,0.9351224,NO
135,31,0.998064,NO
57,32,1.0,NO
74,32,1.0,NO
92,32,1.0,NO
131,32,1.0,NO
167,32,1.0,YES
282,32,1.0,NO
424,32,1.0,NO
20,32,0.998064,NO
132,34,1.0,NO
151,34,1.0,NO
512,34,1.0,YES
680,34,1.0,NO
78,35,1.0,NO
96,35,1.0,NO
362,35,1.0,NO
425,35,1.0,NO
119,36,1.0,NO
127,36,0.9999846,NO
141,36,0.9999846,NO
166,36,0.99990994,YES
426,37,1.0,YES
13,37,0.9999985,NO
115,37,0.9999985,NO
123,37,0.9999985,NO
143,37,0.9999985,NO
280,38,1.0,NO
121,38,0.9999985,NO
32,40,1.0,NO
54,40,1.0,NO
56,40,1.0,NO
65,40,1.0,NO
75,40,1.0,YES
91,40,1.0,NO
93,40,1.0,NO
139,40,1.0,NO
286,40,1.0,NO
149,41,1.0,NO
258,41,1.0,NO
317,41,1.0,YES
320,41,1.0,YES
73,42,1.0,NO
318,42,1.0,YES
43,43,1.0,NO
111,43,1.0,NO
246,43,1.0,YES
314,43,1.0,YES
344,44,1.0,YES
322,45,1.0,YES
80,46,1.0,NO
81,46,1.0,NO
98,46,1.0,NO
99,46,1.0,NO
124,46,1.0,NO
332,46,1.0,YES
311,47,1.0,YES
481,47,1.0,YES
676,47,1.0,YES
27,48,1.0,YES
41,48,1.0,NO
84,48,1.0,YES
130,48,1.0,YES
168,49,0.9999132,YES
94,50,1.0,NO
134,50,1.0,NO
319,50,1.0,YES
76,51,1.0,NO
120,51,1.0,NO
288,51,1.0,NO
50,52,1.0,YES
71,52,1.0,NO
110,52,1.0,YES
122,52,1.0,NO
247,52,1.0,NO
521,53,0.99999934,YES
89,54,1.0,NO
97,54,1.0,NO
259,54,1.0,YES
79,55,1.0,NO
157,55,1.0,NO
316,55,1.0,YES
154,56,1.0,NO
327,56,1.0,YES
61,57,1.0,NO
146,57,1.0,NO
261,57,1.0,YES
334,57,0.9999132,YES
335,57,0.9999132,YES
3,58,1.0,NO
12,58,1.0,NO
142,58,1.0,NO
16,59,1.0,NO
63,59,1.0,NO
140,59,1.0,NO
505,59,1.0,YES
321,59,0.99999934,YES
486,60,1.0,NO
682,60,1.0,NO
350,61,1.0,NO
6,64,1.0,NO
17,64,1.0,NO
351,64,1.0,NO
494,65,1.0,YES
260,66,1.0,YES
2,68,1.0,NO
352,68,1.0,NO
38,69,1.0,YES
49,69,1.0,NO
116,69,1.0,NO
19,70,1.0,NO
60,70,1.0,NO
62,70,1.0,NO
148,70,1.0,NO
337,70,1.0,YES
339,70,0.9999132,YES
104,71,1.0,YES
243,71,1.0,YES
103,73,1.0,YES
256,74,1.0,YES
511,74,1.0,NO
431,76,1.0,NO
39,77,1.0,YES
328,77,1.0,YES
330,77,1.0,YES
0,78,1.0,YES
58,79,1.0,NO
102,80,1.0,NO
283,80,1.0,NO
331,80,0.9999996,YES
59,81,1.0,NO
77,81,1.0,NO
95,81,1.0,NO
284,82,1.0,NO
687,82,1.0,NO
40,83,1.0,YES
88,83,1.0,NO
90,83,1.0,NO
254,83,1.0,YES
522,84,1.0,YES
106,25,0.2959058,NO
138,25,0.2959058,NO
26,85,1.0,NO
42,85,1.0,NO
70,86,1.0,NO
105,86,1.0,NO
159,86,1.0,NO
347,86,1.0,YES
1,87,1.0,NO
313,87,1.0,YES
137,26,0.2959058,NO
64,88,1.0,NO
72,88,1.0,NO
51,89,1.0,NO
44,90,1.0,NO
155,92,1.0,NO
108,94,1.0,NO
325,94,1.0,YES
410,95,1.0,YES
136,98,1.0,NO
308,98,1.0,YES
145,99,1.0,NO
158,99,1.0,NO
248,99,1.0,YES
160,100,1.0,NO
689,100,1.0,NO
66,104,1.0,NO
345,104,1.0,YES
370,105,1.0,NO
36,106,1.0,NO
9,107,1.0,NO
182,108,1.0,YES
343,108,1.0,YES
11,110,1.0,YES
