ID,Size,Predicted,Actual
1,22,0.61041987,NO
284,22,0.61041987,NO
836,22,0.61041987,NO
978,22,0.61041987,NO
985,22,0.61041987,NO
1027,22,0.61041987,NO
1029,22,0.61041987,NO
1064,22,0.61041987,NO
1243,22,0.61041987,NO
1397,22,0.61041987,NO
1497,22,0.61041987,NO
1575,22,0.61041987,NO
1634,22,0.61041987,NO
2074,22,0.61041987,NO
1185,23,0.6109491,NO
1186,23,0.6109491,NO
1187,23,0.6109491,NO
1239,23,0.61038387,NO
1359,23,0.61038387,NO
1378,23,0.61038387,NO
1626,23,0.61038387,NO
1627,23,0.61038387,NO
1628,23,0.61038387,NO
1746,23,0.61038387,NO
1766,23,0.61038387,NO
983,25,0.6414341,NO
732,24,0.6103128,NO
782,24,0.6103128,NO
799,24,0.6103128,NO
806,24,0.6103128,NO
872,24,0.6103128,NO
877,24,0.6103128,NO
982,24,0.6103128,NO
987,24,0.6103128,NO
1166,24,0.6103128,NO
1242,24,0.6103128,NO
1281,24,0.6103128,NO
1361,24,0.6103128,NO
1379,24,0.6103128,NO
1399,24,0.6103128,NO
1522,24,0.6103128,NO
1582,24,0.6103128,NO
1585,24,0.6103128,NO
1591,24,0.6103128,NO
1592,24,0.6103128,NO
1620,24,0.6103128,NO
1643,24,0.6103128,NO
1644,24,0.6103128,NO
1712,24,0.6103128,NO
1760,24,0.6103128,NO
1999,24,0.6103128,NO
2047,24,0.6103128,NO
2078,24,0.6103128,NO
1741,26,0.6414006,NO
1872,25,0.6118532,NO
572,25,0.61027783,NO
599,25,0.61027783,NO
707,25,0.61027783,NO
887,25,0.61027783,NO
1398,25,0.61027783,NO
1461,25,0.61027783,NO
1504,25,0.61027783,NO
1565,25,0.61027783,NO
1584,25,0.61027783,NO
1717,25,0.61027783,NO
1728,25,0.61027783,NO
1729,25,0.61027783,NO
1743,25,0.61027783,NO
1757,25,0.61027783,NO
1990,25,0.61027783,NO
1991,25,0.61027783,NO
2100,25,0.61027783,NO
508,26,0.6138513,NO
546,26,0.6138513,NO
668,26,0.6115002,NO
318,26,0.6102432,NO
417,26,0.6102432,NO
609,26,0.6102432,NO
613,26,0.6102432,NO
628,26,0.6102432,NO
977,26,0.6102432,NO
1011,26,0.6102432,NO
1199,26,0.6102432,NO
1201,26,0.6102432,NO
1202,26,0.6102432,NO
1260,26,0.6102432,NO
1362,26,0.6102432,NO
1442,26,0.6102432,NO
1555,26,0.6102432,NO
1568,26,0.6102432,NO
1586,26,0.6102432,NO
1594,26,0.6102432,NO
1617,26,0.6102432,NO
1624,26,0.6102432,NO
1645,26,0.6102432,NO
1718,26,0.6102432,NO
1731,26,0.6102432,NO
1739,26,0.6102432,NO
1749,26,0.6102432,NO
1752,26,0.6102432,NO
1756,26,0.6102432,NO
1863,26,0.6102432,NO
1885,26,0.6102432,NO
994,28,0.641302,NO
2099,28,0.641302,NO
768,27,0.61175036,NO
1871,27,0.61175036,NO
305,27,0.6101749,NO
493,27,0.6101749,NO
584,27,0.6101749,NO
586,27,0.6101749,NO
789,27,0.6101749,NO
842,27,0.6101749,NO
867,27,0.6101749,NO
988,27,0.6101749,NO
1263,27,0.6101749,NO
1439,27,0.6101749,NO
1546,27,0.6101749,NO
1685,27,0.6101749,NO
1700,27,0.6101749,NO
1761,27,0.6101749,NO
1831,27,0.6101749,NO
1834,27,0.6101749,NO
2056,27,0.6101749,NO
1396,29,0.6412698,NO
1574,28,0.6174184,NO
521,28,0.61374974,NO
919,28,0.6124018,NO
300,28,0.61183697,NO
756,28,0.61171675,NO
291,28,0.6101412,NO
302,28,0.6101412,NO
374,28,0.6101412,NO
589,28,0.6101412,NO
626,28,0.6101412,NO
1200,28,0.6101412,NO
1408,28,0.6101412,NO
1583,28,0.6101412,NO
1736,28,0.6101412,NO
1788,28,0.6101412,NO
1025,30,0.6412064,NO
1039,30,0.6412064,NO
1557,29,0.6173853,NO
2005,31,0.6596946,NO
511,29,0.61371654,NO
522,29,0.61371654,NO
544,29,0.61371654,NO
2166,29,0.6123003,NO
766,29,0.6116835,NO
243,29,0.61010796,NO
353,29,0.61010796,NO
409,29,0.61010796,NO
577,29,0.61010796,NO
731,29,0.61010796,NO
1321,29,0.61010796,NO
1383,29,0.61010796,NO
1387,29,0.61010796,NO
1432,29,0.61010796,NO
1561,29,0.61010796,NO
