ID,Size,Predicted,Actual
821,22,0.36728552,YES
222,22,0.3652954,NO
695,22,0.3652954,NO
708,22,0.3652954,NO
768,22,0.3652954,NO
773,22,0.3652954,NO
789,22,0.3652954,NO
1001,22,0.3652954,NO
1004,22,0.3652954,NO
1170,22,0.3652954,NO
1188,22,0.3652954,NO
1270,22,0.3652954,NO
1326,22,0.3652954,NO
1000,23,0.3652954,NO
1136,23,0.3652954,NO
1154,23,0.3652954,NO
1318,23,0.3652954,NO
1319,23,0.3652954,NO
1320,23,0.3652954,NO
1434,23,0.3652954,NO
1454,23,0.3652954,NO
63,24,0.3652954,NO
70,24,0.3652954,NO
612,24,0.3652954,NO
651,24,0.3652954,NO
701,24,0.3652954,NO
710,24,0.3652954,NO
812,24,0.3652954,NO
919,24,0.3652954,NO
1003,24,0.3652954,NO
1138,24,0.3652954,NO
1155,24,0.3652954,NO
1172,24,0.3652954,NO
1213,24,0.3652954,NO
1276,24,0.3652954,NO
1284,24,0.3652954,NO
1285,24,0.3652954,NO
1312,24,0.3652954,NO
1400,24,0.3652954,NO
1448,24,0.3652954,NO
1514,24,0.3652954,NO
244,25,0.3652954,NO
463,25,0.3652954,NO
490,25,0.3652954,NO
702,25,0.3652954,NO
1038,25,0.3652954,NO
1047,25,0.3652954,NO
1048,25,0.3652954,NO
1171,25,0.3652954,NO
1195,25,0.3652954,NO
1260,25,0.3652954,NO
1278,25,0.3652954,NO
1279,25,0.3652954,NO
1405,25,0.3652954,NO
1416,25,0.3652954,NO
1417,25,0.3652954,NO
1431,25,0.3652954,NO
1445,25,0.3652954,NO
1016,26,0.37091035,YES
259,26,0.3652954,NO
357,26,0.3652954,NO
500,26,0.3652954,NO
504,26,0.3652954,NO
519,26,0.3652954,NO
694,26,0.3652954,NO
751,26,0.3652954,NO
953,26,0.3652954,NO
955,26,0.3652954,NO
956,26,0.3652954,NO
1139,26,0.3652954,NO
1251,26,0.3652954,NO
1263,26,0.3652954,NO
1280,26,0.3652954,NO
1287,26,0.3652954,NO
1309,26,0.3652954,NO
1316,26,0.3652954,NO
1335,26,0.3652954,NO
1406,26,0.3652954,NO
1419,26,0.3652954,NO
1427,26,0.3652954,NO
1429,26,0.3652954,NO
1437,26,0.3652954,NO
1440,26,0.3652954,NO
1444,26,0.3652954,NO
1559,26,0.3652954,NO
1578,26,0.3652954,NO
109,27,0.3652954,NO
248,27,0.3652954,NO
475,27,0.3652954,NO
477,27,0.3652954,NO
658,27,0.3652954,NO
677,27,0.3652954,NO
711,27,0.3652954,NO
1019,27,0.3652954,NO
1238,27,0.3652954,NO
1373,27,0.3652954,NO
1388,27,0.3652954,NO
1449,27,0.3652954,NO
1525,27,0.3652954,NO
1528,27,0.3652954,NO
230,28,0.3652954,NO
312,28,0.3652954,NO
480,28,0.3652954,NO
517,28,0.3652954,NO
717,28,0.3652954,NO
792,28,0.3652954,NO
954,28,0.3652954,NO
1036,28,0.3652954,NO
1180,28,0.3652954,NO
1269,28,0.3652954,NO
1277,28,0.3652954,NO
1424,28,0.3652954,NO
1476,28,0.3652954,NO
188,29,0.36561996,YES
130,29,0.3652954,NO
287,29,0.3652954,NO
347,29,0.3652954,NO
468,29,0.3652954,NO
611,29,0.3652954,NO
1098,29,0.3652954,NO
1159,29,0.3652954,NO
1163,29,0.3652954,NO
1169,29,0.3652954,NO
1253,29,0.3652954,NO
1256,29,0.3652954,NO
